"set.id","set.name","year","set.num.parts","theme.id","theme.name","sub.theme.name","sub.sub.theme.name","inventory.id","inv.num.sets","inv.num.parts","total.parts","part.id","part.name","part.category.id","part.category.name","part.is.spare","color.id","color.name","color.hex","color.is.trans","text.color.hex","gender","num.parts"
"0756672805-1","Pirates: Brickmaster",2009,162,497,"Books",NA,NA,10414,NA,1,1,"3626bpr0566","Minifig Head Moustache Brown Long, Sideburns, Stubble, Thick Eyebrows, White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"0756672813-1","Castle: Brickmaster",2009,141,497,"Books",NA,NA,13631,NA,1,1,"3626bpr0494","Minifig Head Skull Evil with Scowl Black Print, Red Eyes Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,15,"White","#FFFFFF",FALSE,"#000000","Unknown",1
"0756672813-1","Castle: Brickmaster",2009,141,497,"Books",NA,NA,13631,NA,1,1,"3626bpr0500","Minifig Head Dual Sided Black Eyebrows, Crows Feet, Open Mouth Scared, Mischievous [Recessed Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"0756682762-1","Ninjago Brickmaster",2011,154,497,"Books",NA,NA,16042,NA,1,1,"3626bpr0744","Minifig Head Male - Black Eyebrows, White Pupils, Frown, Scar Across Left Eye Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"0756682762-1","Ninjago Brickmaster",2011,154,497,"Books",NA,NA,16042,NA,1,1,"3626bpr0751a","Minifig Head - Cracked Skull with Metal Plates Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,15,"White","#FFFFFF",FALSE,"#000000","Unknown",1
"0756682762-1","Ninjago Brickmaster",2011,154,497,"Books",NA,NA,16042,NA,2,2,"3626cpr0895","Minifig Head Standard Skull Print [Hollow Stud]",59,"Minifig Heads",FALSE,15,"White","#FFFFFF",FALSE,"#000000","Unknown",2
"0756698126-1","Ninjago: Character Encyclopedia",2012,5,497,"Books",NA,NA,27219,NA,1,1,"3626cpr0866","Minifig Head Dual Sided Thin Smirk, Raised Eyebrow / Scared with Teeth Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"10021-1","U.S.S. Constellation",2003,973,404,"Hobby Sets",NA,NA,15624,NA,1,1,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"10027-1","Train Engine Shed",2003,670,239,"Train","9V","World City",10953,NA,1,1,"3626bpb0172","Minifig Head Moustache and Stubble Print, White Pupils, Eyebrows [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10027-1","Train Engine Shed",2003,670,239,"Train","9V","World City",10953,NA,1,1,"3626bpr0270","Minifig Head with Orange Beard around Mouth, White Smile, White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10029-1","Lunar Lander",2003,468,387,"Discovery",NA,NA,7830,NA,2,2,"3626bp69","Minifig Head Male Headset Over Smile, Red-Brown Hair & Eyebrows Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2
"10030-1","Imperial Star Destroyer - UCS",2002,3115,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",4773,NA,4,4,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,41,"Trans-Light Blue","#AEEFEC",TRUE,"#000000","Unknown",4
"10036-1","Pizza To Go",2002,150,75,"Town","Classic Town","Food & Drink",14730,NA,1,1,"3626bp02","Minifig Head Female Standard with Red Lips, Eyelashes Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1
"10036-1","Pizza To Go",2002,150,75,"Town","Classic Town","Food & Drink",14730,NA,1,1,"3626bp03","Minifig Head Moustache Pointed with Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10036-1","Pizza To Go",2002,150,75,"Town","Classic Town","Food & Drink",14730,NA,1,1,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,5,5,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",5
"10040-1","Black Seas Barracuda",2002,916,147,"Pirates",NA,NA,4892,NA,4,4,"3626bp35","Minifig Head with Messy Hair, Moustache and Stubble Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",4
"10040-1","Black Seas Barracuda",2002,916,147,"Pirates",NA,NA,4892,NA,2,2,"3626bp40","Minifig Head Female with Messy Black Hair, Thick Red Lips Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",2
"10040-1","Black Seas Barracuda",2002,916,147,"Pirates",NA,NA,4892,NA,1,1,"3626bp47","Minifig Head Beard Vertical Lines with Messy Hair, Moustache Red, Eyepatch Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10040-1","Black Seas Barracuda",2002,916,147,"Pirates",NA,NA,4892,NA,2,2,"3626bp49","Minifig Head Male Eyepatch, Stubble, Black Hair Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2
"10066-1","Castle Accessories",2002,41,255,"Bulk Bricks","Castle",NA,6575,NA,1,1,"3626bpr0895","Minifig Head Standard Skull Print  [Blocked Open Stud]",59,"Minifig Heads",FALSE,15,"White","#FFFFFF",FALSE,"#000000","Unknown",1
"100STORES-1","100 LEGO Stores North America",2019,5,408,"LEGO Brand Store",NA,NA,31507,NA,1,1,"3626cpb1001","Minifig Head Male Dark Brown Eyebrows, Open Sideways Smile with Dimples Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF","Unknown",1
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626bpr0342","Minifig Head Male Smirk and Brown Eyebrows Print [Han Solo] [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626bpr0378","Minifig Head Female with Red Lips Small Eyebrows Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626bpr0454","Minifig Head Moustache Thin, Standard Grin, Eyebrows, Small Eyelashes Print (SW Lando) [Blocked Open Stud]",59,"Minifig Heads",FALSE,6,"Brown","#583927",FALSE,"#FFFFFF","Male",1
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626bps3","Minifig Head Male Small Black Eyebrows and Chin Dimple Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626bps7","Minifig Head Male Scars Gray Left, Black Eyebrows Print (Darth Vader original) [Blocked Open Stud]",59,"Minifig Heads",FALSE,7,"Light Gray","#9BA19D",FALSE,"#FFFFFF","Male",1
"10128-1","Train Level Crossing",2003,326,239,"Train","9V","World City",61,NA,1,1,"3626bpb0173","Minifig Head Beard Stubble Black Eyebrows, Wide Mouth, White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10128-1","Train Level Crossing",2003,326,239,"Train","9V","World City",61,NA,1,1,"3626bpr0126","Minifig Head Gray Eyebrows, Glasses, Beard and Moustache Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10133-1","Burlington Northern Santa Fe Locomotive",2004,400,236,"Train","9V",NA,11260,NA,4,4,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,71,"Light Bluish Gray","#A0A5A9",FALSE,"#FFFFFF","Unknown",4
"10134-1","Y-wing Attack Starfighter - UCS",2004,1489,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",8087,NA,1,1,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,72,"Dark Bluish Gray","#6C6E68",FALSE,"#FFFFFF","Unknown",1
"10144-1","Sandcrawler",2005,1679,169,"Star Wars","Star Wars Episode 4/5/6",NA,6259,NA,1,1,"30480","Minifig Head Protocol Droid",59,"Minifig Heads",FALSE,142,"Pearl Light Gold","#DCBC81",FALSE,"#FFFFFF","Unknown",1
"10144-1","Sandcrawler",2005,1679,169,"Star Wars","Star Wars Episode 4/5/6",NA,6259,NA,3,3,"3626bpb0251","Minifig Head Alien with SW Jawa, Yellow Eyes Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF","Unknown",3
"10144-1","Sandcrawler",2005,1679,169,"Star Wars","Star Wars Episode 4/5/6",NA,6259,NA,1,1,"3626bpb0252","Minifig Head Male SW Gray Stubble and Gray Eyebrows Print (Owen Lars) [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",1
"10156-1","LEGO Truck",2004,105,85,"Town","Classic Town","Traffic",5170,NA,1,1,"3626bp04","Minifig Head Glasses with Black Sunglasses and Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"10157-1","High Speed Train Locomotive",2004,142,239,"Train","9V","World City",12800,NA,1,1,"3626bpb0190","Minifig Head Female with Red Lips, Wide Smile, Small Eyelashes Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1
"10157-1","High Speed Train Locomotive",2004,142,239,"Train","9V","World City",12800,NA,1,1,"3626bpr0314","Minifig Head Glasses with Brown Thin Eyebrows, Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,1,1,"3626bp02","Minifig Head Female Standard with Red Lips, Eyelashes Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,2,2,"3626bp03","Minifig Head Moustache Pointed with Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,3,3,"3626bp07","Minifig Head with Freckle Nose and Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,1,1,"3626bp09","Minifig Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Black Smile and Pink Lips Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,2,2,"3626bp7e","Minifig Head Glasses with Blue Sunglasses and Wide-Spaced Stubble Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,2,2,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,1,1,"3626bpx11","Minifig Head Moustache Thick Flat and Short Eyebrows Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,1,1,"3626bp02","Minifig Head Female Standard with Red Lips, Eyelashes Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,2,2,"3626bp03","Minifig Head Moustache Pointed with Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,3,3,"3626bp07","Minifig Head with Freckle Nose and Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,1,1,"3626bp09","Minifig Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Black Smile and Pink Lips Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,2,2,"3626bp7e","Minifig Head Glasses with Blue Sunglasses and Wide-Spaced Stubble Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,2,2,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,1,1,"3626bpx11","Minifig Head Moustache Thick Flat and Short Eyebrows Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10177-1","Boeing 787 Dreamliner",2006,1196,276,"Sculptures",NA,NA,6784,NA,2,2,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2
"10178-1","Motorized Walking AT-AT",2007,1137,169,"Star Wars","Star Wars Episode 4/5/6",NA,5153,NA,2,2,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF","Unknown",2
"10178-1","Motorized Walking AT-AT",2007,1137,169,"Star Wars","Star Wars Episode 4/5/6",NA,5153,NA,1,1,"3626bpr0490","Minifig Head Glasses with Black Goggles, Gray Chin Strap Print (SW Imperial AT-ST Pilot) [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Unknown",1
"10178-1","Motorized Walking AT-AT",2007,1137,169,"Star Wars","Star Wars Episode 4/5/6",NA,5153,NA,1,1,"3626bpr0635","Minifig Head Male SW Brown Eyebrows and Chin Dimple Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",1
"10179-1","Millennium Falcon - UCS",2007,5195,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",6409,NA,1,1,"30483pr01","Minifig Head Wookiee with Silver Bandolier / Black Nose Print",59,"Minifig Heads",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF","Unknown",1
"10179-1","Millennium Falcon - UCS",2007,5195,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",6409,NA,1,1,"3626bpr0263","Minifig Head Beard with SW Gray Beard and Eyebrows, Lines under Eyes, Furrowed Brow Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",1
"10179-1","Millennium Falcon - UCS",2007,5195,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",6409,NA,1,1,"3626bpr0342","Minifig Head Male Smirk and Brown Eyebrows Print [Han Solo] [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",1
"10179-1","Millennium Falcon - UCS",2007,5195,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",6409,NA,1,1,"3626bpr0378","Minifig Head Female with Red Lips Small Eyebrows Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Female",1
"10179-1","Millennium Falcon - UCS",2007,5195,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",6409,NA,1,1,"3626bpr0635","Minifig Head Male SW Brown Eyebrows and Chin Dimple Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",1
"10182-1","Cafe Corner",2007,2058,155,"Modular Buildings",NA,NA,16385,NA,1,1,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,47,"Trans-Clear","#FCFCFC",TRUE,"#000000","Unknown",1
"10182-1","Cafe Corner",2007,2058,155,"Modular Buildings",NA,NA,16385,NA,3,3,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3
"10183-1","Hobby Train",2007,1080,397,"Factory",NA,NA,5514,NA,2,2,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF","Unknown",2
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,2,2,"3626bp09","Minifig Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Black Smile and Pink Lips Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",2
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,2,2,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"3626bpr0245","Minifig Head Moustache Brown Bushy Moustache and Eyebrows Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"3626bpr0314","Minifig Head Glasses with Brown Thin Eyebrows, Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"3626bpr0387","Minifig Head Brown Eyebrows, Thin Grin, Black Eyes with White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"3626bpr0389","Minifig Head Male Smirk, Pupils, Stubble Beard and Moustache and Sideburns Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,1,1,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,47,"Trans-Clear","#FCFCFC",TRUE,"#000000","Unknown",1
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,4,4,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",4
"10186-1","General Grievous",2008,1084,173,"Star Wars","Ultimate Collector Series","Star Wars Episode 3",5147,NA,1,1,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF","Unknown",1
"10186-1","General Grievous",2008,1084,173,"Star Wars","Ultimate Collector Series","Star Wars Episode 3",23670,NA,1,1,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF","Unknown",1
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,1,1,"30480","Minifig Head Protocol Droid",59,"Minifig Heads",FALSE,297,"Pearl Gold","#AA7F2E",FALSE,"#FFFFFF","Unknown",1
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,1,1,"30480","Minifig Head Protocol Droid",59,"Minifig Heads",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF","Unknown",1
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,1,1,"30483pr01","Minifig Head Wookiee with Silver Bandolier / Black Nose Print",59,"Minifig Heads",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF","Unknown",1
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,4,4,"3626b","Minifig Head Plain [Blocked Open Stud]",59,"Minifig Heads",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF","Unknown",4
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,1,1,"3626bpr0263","Minifig Head Beard with SW Gray Beard and Eyebrows, Lines under Eyes, Furrowed Brow Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",1
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,2,2,"3626bpr0342","Minifig Head Male Smirk and Brown Eyebrows Print [Han Solo] [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",2
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,1,1,"3626bpr0378","Minifig Head Female with Red Lips Small Eyebrows Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Female",1
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,1,1,"3626bpr0402","Minifig Head Male Scars Gray Left & Right, Gray Eyebrows Print (Darth Vader 10188) [Blocked Open Stud]",59,"Minifig Heads",FALSE,71,"Light Bluish Gray","#A0A5A9",FALSE,"#FFFFFF","Male",1
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,1,1,"3626bpr0455","Minifig Head Male Cheek Wrinkles with Dk Bluish Gray Stern Eyebrows Print (SW Grand Moff Tarkin) [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",1
