"set.id","set.name","year","set.num.parts","theme.id","theme.name","sub.theme.name","sub.sub.theme.name","inventory.id","inv.num.sets","inv.num.parts","total.parts","part.id","part.name","part.category.id","part.category.name","part.is.spare","color.id","color.name","color.hex","color.is.trans","text.color.hex"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,1,1,"2566","Plant, Palm Tree Top",28,"Plants and Animals",FALSE,6,"Brown","#583927",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,1,1,"3741","Plant, Flower Stem",28,"Plants and Animals",TRUE,2,"Green","#237841",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,6,6,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,9,9,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,9,9,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,3,3,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,3,3,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10040-1","Black Seas Barracuda",2002,916,147,"Pirates",NA,NA,4892,NA,1,1,"2546p01","Bird - Parrot with Coloured Feathers Print",28,"Plants and Animals",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10040-1","Black Seas Barracuda",2002,916,147,"Pirates",NA,NA,4892,NA,1,1,"2550c01","Monkey [Complete Assembly]",28,"Plants and Animals",FALSE,6,"Brown","#583927",FALSE,"#FFFFFF"
"10040-1","Black Seas Barracuda",2002,916,147,"Pirates",NA,NA,4892,NA,3,3,"2566","Plant, Palm Tree Top",28,"Plants and Animals",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF"
"10040-1","Black Seas Barracuda",2002,916,147,"Pirates",NA,NA,4892,NA,2,2,"4728","Plant, Flower 2 x 2 - Round [Open Stud]",28,"Plants and Animals",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10066-1","Castle Accessories",2002,41,255,"Bulk Bricks","Castle",NA,6575,NA,2,2,"87695","Cattle Horns",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"10111-1","Foliferous Tree",2001,10,254,"Bulk Bricks",NA,NA,14832,NA,10,10,"3470","Plant, Fruit Tree",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10112-1","Bush",2001,25,254,"Bulk Bricks",NA,NA,2956,NA,25,25,"6064","Plant, Bush 2 x 2 x 4",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10113-1","Cypress Trees",2001,5,254,"Bulk Bricks",NA,NA,5441,NA,5,5,"3778","Plant, Tree Cypress",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,2,2,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,6,"Brown","#583927",FALSE,"#FFFFFF"
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3741","Plant, Flower Stem",28,"Plants and Animals",TRUE,6,"Brown","#583927",FALSE,"#FFFFFF"
"10128-1","Train Level Crossing",2003,326,239,"Train","9V","World City",61,NA,1,1,"3471","Plant, Pine Tree - Large 4 x 4 x 6 2/3",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10129-1","Rebel Snowspeeder - UCS",2003,1456,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",4472,NA,4,4,"6135","Plant, Tree Palm Trunk - Short Connector, Axle Hole with 2 Inside Prongs",28,"Plants and Animals",FALSE,7,"Light Gray","#9BA19D",FALSE,"#FFFFFF"
"10152-1","Maersk Sealand Container Ship 2004 Edition",2004,982,276,"Sculptures",NA,NA,4530,NA,2,2,"2566","Plant, Palm Tree Top",28,"Plants and Animals",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF"
"10152-2","Maersk Sealand Container Ship 2005 Edition",2005,982,276,"Sculptures",NA,NA,15600,NA,2,2,"2566","Plant, Palm Tree Top",28,"Plants and Animals",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF"
"10152-3","Maersk Line Container Ship 2006 Edition",2006,982,276,"Sculptures",NA,NA,9990,NA,2,2,"2566","Plant, Palm Tree Top",28,"Plants and Animals",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF"
"10155-1","Maersk Line Container Ship 2010 Edition",2010,984,276,"Sculptures",NA,NA,15567,NA,2,2,"2566","Plant, Palm Tree Top",28,"Plants and Animals",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,1,1,"2563","Plant, Palm Tree Base",28,"Plants and Animals",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,1,1,"2566","Plant, Palm Tree Top",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,2,2,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,2,2,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,6,6,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,5,5,"6135","Plant, Tree Palm Trunk - Short Connector, Axle Hole with 2 Inside Prongs",28,"Plants and Animals",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,4,4,"6148","Plant, Palm Leaf Small",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,1,1,"2563","Plant, Palm Tree Base",28,"Plants and Animals",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,1,1,"2566","Plant, Palm Tree Top",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,2,2,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,6,6,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,2,2,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,5,5,"6135","Plant, Tree Palm Trunk - Short Connector, Axle Hole with 2 Inside Prongs",28,"Plants and Animals",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,4,4,"6148","Plant, Palm Leaf Small",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10166-1","Elf Girl",2004,31,227,"Seasonal","Christmas",NA,14464,NA,1,1,"2423","Plant, Leaves 4 x 3",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10168-1","Mrs. Bunny",2005,64,229,"Seasonal","Easter",NA,13100,NA,1,1,"2423","Plant, Leaves 4 x 3",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10168-1","Mrs. Bunny",2005,64,229,"Seasonal","Easter",NA,13100,NA,1,1,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10168-1","Mrs. Bunny",2005,64,229,"Seasonal","Easter",NA,13100,NA,1,1,"3741","Plant, Flower Stem",28,"Plants and Animals",TRUE,2,"Green","#237841",FALSE,"#FFFFFF"
"10168-1","Mrs. Bunny",2005,64,229,"Seasonal","Easter",NA,13100,NA,4,4,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,5,"Dark Pink","#C870A0",FALSE,"#FFFFFF"
"10169-1","Chicken & Chicks",2005,60,229,"Seasonal","Easter",NA,2050,NA,2,2,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,10,"Bright Green","#4B9F4A",FALSE,"#FFFFFF"
"10169-1","Chicken & Chicks",2005,60,229,"Seasonal","Easter",NA,2050,NA,1,1,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,15,"White","#FFFFFF",FALSE,"#000000"
"10169-1","Chicken & Chicks",2005,60,229,"Seasonal","Easter",NA,2050,NA,1,1,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,5,"Dark Pink","#C870A0",FALSE,"#FFFFFF"
"10169-1","Chicken & Chicks",2005,60,229,"Seasonal","Easter",NA,2050,NA,3,3,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,5,"Dark Pink","#C870A0",FALSE,"#FFFFFF"
"10169-1","Chicken & Chicks",2005,60,229,"Seasonal","Easter",NA,2050,NA,3,3,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"10179-1","Millennium Falcon - UCS",2007,5195,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",6409,NA,4,4,"2397","Horse Hitching [Studded]",28,"Plants and Animals",FALSE,72,"Dark Bluish Gray","#6C6E68",FALSE,"#FFFFFF"
"10182-1","Cafe Corner",2007,2058,155,"Modular Buildings",NA,NA,16385,NA,2,2,"22667","Plant, Cherries",28,"Plants and Animals",FALSE,27,"Lime","#BBE90B",FALSE,"#000000"
"10182-1","Cafe Corner",2007,2058,155,"Modular Buildings",NA,NA,16385,NA,1,1,"22667","Plant, Cherries",28,"Plants and Animals",TRUE,27,"Lime","#BBE90B",FALSE,"#000000"
"10182-1","Cafe Corner",2007,2058,155,"Modular Buildings",NA,NA,16385,NA,4,4,"2546","Bird",28,"Plants and Animals",FALSE,72,"Dark Bluish Gray","#6C6E68",FALSE,"#FFFFFF"
"10182-1","Cafe Corner",2007,2058,155,"Modular Buildings",NA,NA,16385,NA,5,5,"33320","Frog",28,"Plants and Animals",FALSE,72,"Dark Bluish Gray","#6C6E68",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,13,13,"2423","Plant, Leaves 4 x 3",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"30093","Plant, Sea Grass",28,"Plants and Animals",FALSE,34,"Trans-Green","#84B68D",TRUE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,10,10,"30176","Plant, Round 1 x 1 - 3 Bamboo Leaves",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"33051","Plant, Apple",28,"Plants and Animals",FALSE,10,"Bright Green","#4B9F4A",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"33085","Plant, Banana",28,"Plants and Animals",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,2,2,"3741","Plant, Flower Stem",28,"Plants and Animals",TRUE,2,"Green","#237841",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,12,12,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,5,"Dark Pink","#C870A0",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,3,3,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,5,"Dark Pink","#C870A0",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,24,24,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,5,5,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,15,15,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,8,8,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,15,"White","#FFFFFF",FALSE,"#000000"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,4,4,"22667","Plant, Cherries",28,"Plants and Animals",FALSE,27,"Lime","#BBE90B",FALSE,"#000000"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,1,1,"22667","Plant, Cherries",28,"Plants and Animals",TRUE,27,"Lime","#BBE90B",FALSE,"#000000"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,4,4,"22667","Plant, Cherries",28,"Plants and Animals",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,1,1,"22667","Plant, Cherries",28,"Plants and Animals",TRUE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,2,2,"2423","Plant, Leaves 4 x 3",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,3,3,"33051","Plant, Apple",28,"Plants and Animals",FALSE,10,"Bright Green","#4B9F4A",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,3,3,"33085","Plant, Banana",28,"Plants and Animals",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,3,3,"33172","Plant, Carrot",28,"Plants and Animals",FALSE,25,"Orange","#FE8A18",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,3,3,"33183","Plant, Carrot Top",28,"Plants and Animals",FALSE,10,"Bright Green","#4B9F4A",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,3,3,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,6,6,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,3,3,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,2,2,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,1,1,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,15,"White","#FFFFFF",FALSE,"#000000"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,1,1,"40234","Rat",28,"Plants and Animals",FALSE,71,"Light Bluish Gray","#A0A5A9",FALSE,"#FFFFFF"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,1,1,"6251pr0002","Kitten Crouching with Black Eyes, Eyelashes, and Nose Print",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"10186-1","General Grievous",2008,1084,173,"Star Wars","Ultimate Collector Series","Star Wars Episode 3",5147,NA,2,2,"53451","Barb Small Flexible [Claw, Horn]",28,"Plants and Animals",TRUE,15,"White","#FFFFFF",FALSE,"#000000"
"10186-1","General Grievous",2008,1084,173,"Star Wars","Ultimate Collector Series","Star Wars Episode 3",5147,NA,12,12,"53451","Barb Small Flexible [Claw, Horn]",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"10186-1","General Grievous",2008,1084,173,"Star Wars","Ultimate Collector Series","Star Wars Episode 3",5147,NA,2,2,"55236","Spiky Vine / Tail [aka Bionicle Spine]",28,"Plants and Animals",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF"
"10186-1","General Grievous",2008,1084,173,"Star Wars","Ultimate Collector Series","Star Wars Episode 3",23670,NA,12,12,"53451","Barb Small Flexible [Claw, Horn]",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"10186-1","General Grievous",2008,1084,173,"Star Wars","Ultimate Collector Series","Star Wars Episode 3",23670,NA,2,2,"53451","Barb Small Flexible [Claw, Horn]",28,"Plants and Animals",TRUE,15,"White","#FFFFFF",FALSE,"#000000"
"10186-1","General Grievous",2008,1084,173,"Star Wars","Ultimate Collector Series","Star Wars Episode 3",23670,NA,2,2,"55236","Spiky Vine / Tail [aka Bionicle Spine]",28,"Plants and Animals",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF"
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,1,1,"43892","Tail or Elephant Trunk",28,"Plants and Animals",FALSE,19,"Tan","#E4CD9E",FALSE,"#000000"
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,5,5,"55236","Spiky Vine / Tail [aka Bionicle Spine]",28,"Plants and Animals",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,4,4,"22667","Plant, Cherries",28,"Plants and Animals",FALSE,27,"Lime","#BBE90B",FALSE,"#000000"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,4,4,"22667","Plant, Cherries",28,"Plants and Animals",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"22667","Plant, Cherries",28,"Plants and Animals",TRUE,27,"Lime","#BBE90B",FALSE,"#000000"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"22667","Plant, Cherries",28,"Plants and Animals",TRUE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,2,2,"33051","Plant, Apple",28,"Plants and Animals",FALSE,10,"Bright Green","#4B9F4A",FALSE,"#FFFFFF"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"3741","Plant, Flower Stem",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"3741","Plant, Flower Stem",28,"Plants and Animals",TRUE,2,"Green","#237841",FALSE,"#FFFFFF"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,3,3,"3742","Plant, Flower - Small",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"3742","Plant, Flower - Small",28,"Plants and Animals",TRUE,15,"White","#FFFFFF",FALSE,"#000000"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"40232","Owl Large, Rounded Features",28,"Plants and Animals",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,2,2,"40379","Dinosaur Tail End Section",28,"Plants and Animals",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,2,2,"6255","Plant, 1 x 1 x 2/3 - 3 Large Leaves",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
