"set.id","set.name","year","set.num.parts","theme.id","theme.name","sub.theme.name","sub.sub.theme.name","inventory.id","inv.num.sets","inv.num.parts","total.parts","part.id","part.name","part.category.id","part.category.name","part.is.spare","color.id","color.name","color.hex","color.is.trans","text.color.hex","num.parts","style"
"251-1","Windmill with Miller and his Wife",1974,90,364,"Building Set with People",NA,NA,12225,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"252-1","Locomotive with Driver & Passenger",1974,115,364,"Building Set with People",NA,NA,16352,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"254-1","Family",1975,94,364,"Building Set with People",NA,NA,9644,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"255-2","Farming Scene",1975,120,364,"Building Set with People",NA,NA,6728,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"258-1","Zoo with Baseboard",1976,472,364,"Building Set with People",NA,NA,7124,NA,3,3,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",3,"Long"
"263-1","Kitchen Set",1974,173,405,"Homemaker",NA,NA,2257,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"264-1","Living Room Set",1974,241,405,"Homemaker",NA,NA,12256,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"265-1","Bathroom",1974,147,405,"Homemaker",NA,NA,6051,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"268-1","Family Room",1979,251,405,"Homemaker",NA,NA,8391,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF",1,"Long"
"269-1","Kitchen",1979,210,405,"Homemaker",NA,NA,12169,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"271831-1","Macy",2018,21,605,"Nexo Knights",NA,NA,31014,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF",1,"Long"
"276-1","Doctor's Office",1977,94,405,"Homemaker",NA,NA,12218,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"277-1","Fireplace",1977,86,405,"Homemaker",NA,NA,5606,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"278-1","Television Room",1978,107,405,"Homemaker",NA,NA,2111,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"2846-1","Indian Kayak",1997,18,477,"Western","Indians",NA,13891,NA,1,1,"30114","Minifig Hair Long and Side Braided with Headband",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"296-1","Ladies' Hairdressers",1977,163,405,"Homemaker",NA,NA,2771,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"297-1","Nursery",1978,168,405,"Homemaker",NA,NA,6494,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"30-1","Universal Building Set",1976,200,469,"Universal Building Set","Basic Set",NA,13512,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"30100-1","Andrea on the Beach",2012,28,494,"Friends",NA,NA,9089,NA,1,1,"93352","Minidoll Hair Long with Curls",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"30101-1","Skate Boarder",2012,28,494,"Friends",NA,NA,8157,NA,1,1,"92257","Minidoll Hair Long with Ponytail and Side Bangs [1 Hole]",65,"Minifig Headwear",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF",1,"Long"
"30102-1","Desk",2012,28,494,"Friends",NA,NA,13564,NA,1,1,"92256","Minidoll Hair Long Wavy [2 Holes]",65,"Minifig Headwear",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF",1,"Long"
"30103-1","Car",2012,32,494,"Friends",NA,NA,9857,NA,1,1,"92258","Minidoll Hair Long Wavy, Partially Tied Back [2 Holes]",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"30105-1","Stephanie and Mailbox",2012,41,494,"Friends",NA,NA,4744,NA,1,1,"92255","Minidoll Hair Long Straight [2 Holes]",65,"Minifig Headwear",FALSE,226,"Bright Light Yellow","#FFF03A",FALSE,"#000000",1,"Long"
"30106-1","Ice Cream Stand",2013,34,494,"Friends",NA,NA,676,NA,1,1,"92258","Minidoll Hair Long Wavy, Partially Tied Back [2 Holes]",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"30107-1","Birthday Party",2013,39,494,"Friends",NA,NA,13430,NA,1,1,"93352","Minidoll Hair Long with Curls",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"30108-1","Summer Picnic",2013,33,494,"Friends",NA,NA,2801,NA,1,1,"92257","Minidoll Hair Long with Ponytail and Side Bangs [1 Hole]",65,"Minifig Headwear",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF",1,"Long"
