"set.id","set.name","year","set.num.parts","theme.id","theme.name","sub.theme.name","sub.sub.theme.name","inventory.id","inv.num.sets","inv.num.parts","total.parts","part.id","part.name","part.category.id","part.category.name","part.is.spare","color.id","color.name","color.hex","color.is.trans","text.color.hex","gender","num.parts","mood","mood.color"
"10157-1","High Speed Train Locomotive",2004,142,239,"Train","9V","World City",12800,NA,1,1,"3626bpr0314","Minifig Head Glasses with Brown Thin Eyebrows, Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,2,2,"3626bp03","Minifig Head Moustache Pointed with Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2,"Happy","#F2CD37"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,3,3,"3626bp07","Minifig Head with Freckle Nose and Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3,"Happy","#F2CD37"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,1,1,"3626bp09","Minifig Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Black Smile and Pink Lips Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
"10159-1","City Airport -City Logo Box",2004,913,53,"Town","City","Airport",9001,NA,2,2,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2,"Happy","#F2CD37"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,2,2,"3626bp03","Minifig Head Moustache Pointed with Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2,"Happy","#F2CD37"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,3,3,"3626bp07","Minifig Head with Freckle Nose and Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3,"Happy","#F2CD37"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,1,1,"3626bp09","Minifig Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Black Smile and Pink Lips Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
"10159-2","City Airport -Full Size Image Box",2004,913,68,"Town","Classic Town","Airport",9883,NA,2,2,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2,"Happy","#F2CD37"
"10179-1","Millennium Falcon - UCS",2007,5195,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",6409,NA,1,1,"3626bpr0342","Minifig Head Male Smirk and Brown Eyebrows Print [Han Solo] [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10182-1","Cafe Corner",2007,2058,155,"Modular Buildings",NA,NA,16385,NA,3,3,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3,"Happy","#F2CD37"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,2,2,"3626bp09","Minifig Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Black Smile and Pink Lips Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",2,"Happy","#F2CD37"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,2,2,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2,"Happy","#F2CD37"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"3626bpr0314","Minifig Head Glasses with Brown Thin Eyebrows, Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"3626bpr0387","Minifig Head Brown Eyebrows, Thin Grin, Black Eyes with White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10184-1","Town Plan",2008,2017,104,"Town","Town Plan",NA,8152,NA,1,1,"3626bpr0389","Minifig Head Male Smirk, Pupils, Stubble Beard and Moustache and Sideburns Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10185-1","Green Grocer",2008,2358,155,"Modular Buildings",NA,NA,15814,NA,4,4,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",4,"Happy","#F2CD37"
"10188-1","Death Star",2008,3809,174,"Star Wars","Ultimate Collector Series","Star Wars Episode 4/5/6",15042,NA,2,2,"3626bpr0342","Minifig Head Male Smirk and Brown Eyebrows Print [Han Solo] [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Male",2,"Happy","#F2CD37"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"3626bpr0314","Minifig Head Glasses with Brown Thin Eyebrows, Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"3626bpr0387","Minifig Head Brown Eyebrows, Thin Grin, Black Eyes with White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10190-1","Market Street",2007,1250,155,"Modular Buildings",NA,NA,14486,NA,1,1,"3626bpr0389","Minifig Head Male Smirk, Pupils, Stubble Beard and Moustache and Sideburns Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10191-1","Star Justice",2008,884,397,"Factory",NA,NA,2152,NA,1,1,"3626bpr0270","Minifig Head with Orange Beard around Mouth, White Smile, White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10191-1","Star Justice",2008,884,397,"Factory",NA,NA,2152,NA,1,1,"3626bpr0314","Minifig Head Glasses with Brown Thin Eyebrows, Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10191-1","Star Justice",2008,884,397,"Factory",NA,NA,2152,NA,2,2,"3626bpr0389","Minifig Head Male Smirk, Pupils, Stubble Beard and Moustache and Sideburns Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2,"Happy","#F2CD37"
"10193-1","Medieval Market Village",2009,1618,193,"Castle","Fantasy Era",NA,10306,NA,1,1,"3626bpr0387","Minifig Head Brown Eyebrows, Thin Grin, Black Eyes with White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10193-1","Medieval Market Village",2009,1618,193,"Castle","Fantasy Era",NA,10306,NA,2,2,"3626bpr0495","Minifig Head Dual Sided - Female with Brown Eyebrows Scared / Smiling Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",2,"Happy","#F2CD37"
"10193-1","Medieval Market Village",2009,1618,193,"Castle","Fantasy Era",NA,10306,NA,1,1,"3626bpr0499","Minifig Head Male Brown Eyebrows, Black Eyes with White Pupils, Crooked Smile with Black Dimple Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10196-1","Grand Carousel",2009,3260,276,"Sculptures",NA,NA,4131,NA,1,1,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10196-1","Grand Carousel",2009,3260,276,"Sculptures",NA,NA,4131,NA,2,2,"3626bpr0043","Minifig Head Female with Brown Thin Eyebrows, White Pupils and Short Eyelashes, Wide Black Smile with Red Lips Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",2,"Happy","#F2CD37"
"10196-1","Grand Carousel",2009,3260,276,"Sculptures",NA,NA,4131,NA,2,2,"3626bpr0252","Minifig Head Male Black Hair, Eyebrows, and Smirk Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2,"Happy","#F2CD37"
"10196-1","Grand Carousel",2009,3260,276,"Sculptures",NA,NA,4131,NA,1,1,"3626bpr0270","Minifig Head with Orange Beard around Mouth, White Smile, White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10196-1","Grand Carousel",2009,3260,276,"Sculptures",NA,NA,4131,NA,3,3,"3626bpr0387","Minifig Head Brown Eyebrows, Thin Grin, Black Eyes with White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3,"Happy","#F2CD37"
"10196-1","Grand Carousel",2009,3260,276,"Sculptures",NA,NA,4131,NA,2,2,"3626bpr0498","Minifig Head Brown Eyebrows, Thin Grin with Teeth, Black Eyes with White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2,"Happy","#F2CD37"
"10196-1","Grand Carousel",2009,3260,276,"Sculptures",NA,NA,4131,NA,2,2,"3626bpr0499","Minifig Head Male Brown Eyebrows, Black Eyes with White Pupils, Crooked Smile with Black Dimple Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2,"Happy","#F2CD37"
"10197-1","Fire Brigade",2009,2236,155,"Modular Buildings",NA,NA,6696,NA,4,4,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",4,"Happy","#F2CD37"
"10198-1","Tantive IV",2009,1408,169,"Star Wars","Star Wars Episode 4/5/6",NA,12811,NA,1,1,"3626bpr0612","Minifig Head Dual Sided Brown Eyebrows and Black Chin Strap Smiling / Worried Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10199-1","Winter Toy Shop",2009,815,227,"Seasonal","Christmas",NA,9814,NA,1,1,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10199-1","Winter Toy Shop",2009,815,227,"Seasonal","Christmas",NA,9814,NA,1,1,"3626bpr0499","Minifig Head Male Brown Eyebrows, Black Eyes with White Pupils, Crooked Smile with Black Dimple Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10199-1","Winter Toy Shop",2009,815,227,"Seasonal","Christmas",NA,9814,NA,2,2,"3626bpr0892","Minifig Head Female with Black Thin Eyebrows, Eyelashes, White Pupils and Red Lips Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",2,"Happy","#F2CD37"
"10200-1","Custom Car Garage",2008,893,397,"Factory",NA,NA,14040,NA,1,1,"3626bpr0389","Minifig Head Male Smirk, Pupils, Stubble Beard and Moustache and Sideburns Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10210-1","Imperial Flagship",2010,1656,153,"Pirates","Pirates II",NA,1589,NA,1,1,"3626bpr0270","Minifig Head with Orange Beard around Mouth, White Smile, White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10210-1","Imperial Flagship",2010,1656,153,"Pirates","Pirates II",NA,1589,NA,1,1,"3626bpr0580","Minifig Head Dual Sided Female with Red Lips, Crow's Feet and Beauty Mark Annoyed / Smiling Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
"10211-1","Grand Emporium",2010,2186,155,"Modular Buildings",NA,NA,6619,NA,7,7,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",7,"Happy","#F2CD37"
"10213-1","Shuttle Adventure",2010,1203,276,"Sculptures",NA,NA,9519,NA,1,1,"3626bpr0387","Minifig Head Brown Eyebrows, Thin Grin, Black Eyes with White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10213-1","Shuttle Adventure",2010,1203,276,"Sculptures",NA,NA,9519,NA,1,1,"3626bpr0389","Minifig Head Male Smirk, Pupils, Stubble Beard and Moustache and Sideburns Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10213-1","Shuttle Adventure",2010,1203,276,"Sculptures",NA,NA,9519,NA,1,1,"3626bpr0495","Minifig Head Dual Sided - Female with Brown Eyebrows Scared / Smiling Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
"10216-1","Winter Village Bakery",2010,686,227,"Seasonal","Christmas",NA,2996,NA,1,1,"3626bpr0387","Minifig Head Brown Eyebrows, Thin Grin, Black Eyes with White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10216-1","Winter Village Bakery",2010,686,227,"Seasonal","Christmas",NA,2996,NA,1,1,"3626bpr0495","Minifig Head Dual Sided - Female with Brown Eyebrows Scared / Smiling Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
"10216-1","Winter Village Bakery",2010,686,227,"Seasonal","Christmas",NA,2996,NA,1,1,"3626bpr0499","Minifig Head Male Brown Eyebrows, Black Eyes with White Pupils, Crooked Smile with Black Dimple Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10216-1","Winter Village Bakery",2010,686,227,"Seasonal","Christmas",NA,2996,NA,1,1,"3626bpr0579","Minifig Head Dual Sided with Huge Grin, White Pupils, Eyebrows / Sad with Tear Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10216-1","Winter Village Bakery",2010,686,227,"Seasonal","Christmas",NA,2996,NA,1,1,"3626bpr0892","Minifig Head Female with Black Thin Eyebrows, Eyelashes, White Pupils and Red Lips Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
"10217-1","Diagon Alley",2011,2031,246,"Harry Potter",NA,NA,14029,NA,1,1,"3626bpr0703","Minifig Head Dual Sided HP Harry with Glasses and Lightning Bolt, Frowning / Smiling Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10217-1","Diagon Alley",2011,2031,246,"Harry Potter",NA,NA,14029,NA,1,1,"3626bpr0708","Minifig Head Dual Sided HP Ron Smiling / Scared Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10217-1","Diagon Alley",2011,2031,246,"Harry Potter",NA,NA,14029,NA,2,2,"3626bpr0711","Minifig Head Dual Sided HP Fred / George Weasley Closed Mouth / Open Mouth Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Unknown",2,"Happy","#F2CD37"
"10217-1","Diagon Alley",2011,2031,246,"Harry Potter",NA,NA,14029,NA,1,1,"3626bpr0718","Minifig Head Dual Sided HP Ollivander Smiling / Scared Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10217-1","Diagon Alley",2011,2031,246,"Harry Potter",NA,NA,14029,NA,1,1,"3626bpr0724","Minifig Head Dual Sided HP Hermione with Smiling / Annoyed Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,78,"Light Flesh","#F6D7B3",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10218-1","Pet Shop",2011,2034,155,"Modular Buildings",NA,NA,14858,NA,4,4,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",4,"Happy","#F2CD37"
"10219-1","Maersk Container Train",2011,1232,240,"Train","RC Train",NA,8986,NA,1,1,"3626bpr0282","Minifig Head with Silver Sunglasses, Eyebrows and Thin Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10219-1","Maersk Container Train",2011,1232,240,"Train","RC Train",NA,8986,NA,1,1,"3626bpr0646","Minifig Head Glasses with Gray Frame Sides, Brown Eyebrows and Open Smile Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10222-1","Winter Village Post Office",2011,821,227,"Seasonal","Christmas",NA,330,NA,1,1,"3626bpr0580","Minifig Head Dual Sided Female with Red Lips, Crow's Feet and Beauty Mark Annoyed / Smiling Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
"10222-1","Winter Village Post Office",2011,821,227,"Seasonal","Christmas",NA,330,NA,1,1,"3626cpr0389","Minifig Head Male - Smirk, Stubble Beard and Moustache and Sideburns Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10222-1","Winter Village Post Office",2011,821,227,"Seasonal","Christmas",NA,330,NA,1,1,"3626cpr0498","Minifig Head Brown Eyebrows, Thin Grin with Teeth, Black Eyes with White Pupils Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10222-1","Winter Village Post Office",2011,821,227,"Seasonal","Christmas",NA,330,NA,1,1,"3626cpr0649","Minifig Head Beard Brown Rounded with White Pupils and Grin Print [Recessed Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10222-1","Winter Village Post Office",2011,821,227,"Seasonal","Christmas",NA,330,NA,1,1,"3626cpr0677","Minifig Head Brown Eyebrows and Freckles, Open Smile, White Pupils Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10222-1","Winter Village Post Office",2011,821,227,"Seasonal","Christmas",NA,330,NA,1,1,"3626cpr0893","Minifig Head Female with Peach Lips, Open Mouth Smile, Black Eyebrows Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
"10222-1","Winter Village Post Office",2011,821,227,"Seasonal","Christmas",NA,330,NA,1,1,"3626cpr1665","Minifig Head Glasses with Brown Thin Eyebrows, Smile Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
